New Privately Owned Housing Units Authorized,,,,,,,,,,,,,,,,
Unadjusted Units by CBSA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
202505,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,Current Month,,,,,,,Year to Date,,,,
,,,,,,,,,,,,,,,,
CSA,CBSA,Name,Metro /Micro Code,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Num of Structures With 5 Units or More,,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Num of Structures With 5 Units or More
216,14500,"Boulder, CO                                                 ",2,102,46,6,4,46,3,,675,224,14,11,426,11
150,14540,"Bowling Green, KY                                           ",2,132,69,0,0,63,1,,448,291,0,30,127,9
999,14580,"Bozeman, MT                                                 ",4,162,73,4,4,81,7,,708,387,34,32,255,18
999,14620,"Bradford, PA                                                ",5,2,2,0,0,0,0,,12,12,0,0,0,0
999,14660,"Brainerd, MN                                                ",5,168,78,2,3,85,2,,353,260,2,6,85,2
999,14700,"Branson, MO                                                 ",5,20,15,0,0,5,1,,88,78,0,0,10,2
313,14710,"Brattleboro, VT                                             ",5,10,10,0,0,0,0,,62,58,4,0,0,0
999,14720,"Breckenridge, CO                                            ",5,22,17,0,0,5,1,,120,93,0,3,24,4
500,14740,"Bremerton-Silverdale-Port Orchard, WA                       ",2,148,74,0,0,74,3,,589,302,2,6,279,5
288,14780,"Brenham, TX                                                 ",5,26,26,0,0,0,0,,76,73,0,3,0,0
120,14820,"Brevard, NC                                                 ",5,15,15,0,0,0,0,,89,84,0,0,5,1
408,14860,"Bridgeport-Stamford-Danbury, CT                             ",2,433,46,4,3,380,5,,913,192,16,22,683,13
482,14940,"Brigham City, UT-ID                                         ",5,53,53,0,0,0,0,,225,188,0,0,37,6
298,15020,"Brookhaven, MS                                              ",5,2,2,0,0,0,0,,4,4,0,0,0,0
152,15060,"Brookings, OR                                               ",5,3,3,0,0,0,0,,24,24,0,0,0,0
999,15100,"Brookings, SD                                               ",5,12,12,0,0,0,0,,188,74,0,0,114,1
154,15180,"Brownsville-Harlingen, TX                                   ",2,237,188,16,3,30,3,,1043,845,82,14,102,7
999,15220,"Brownwood, TX                                               ",5,11,11,0,0,0,0,,129,80,0,0,49,5
999,15260,"Brunswick-St.Simons, GA                                     ",4,72,55,4,3,10,1,,345,251,32,25,37,5
360,15340,"Bucyrus, OH                                                 ",5,0,0,0,0,0,0,,3,3,0,0,0,0
160,15380,"Buffalo-Cheektowaga, NY                                     ",2,170,78,6,0,86,4,,446,305,10,10,121,9
999,15420,"Burley, ID                                                  ",5,24,24,0,0,0,0,,97,89,0,3,5,1
161,15460,"Burlington, IA-IL                                           ",5,7,2,0,0,5,1,,43,12,0,3,28,4
268,15500,"Burlington, NC                                              ",2,304,175,0,0,129,7,,1151,898,8,4,241,19
162,15540,"Burlington-South Burlington, VT                             ",2,47,37,2,3,5,1,,328,186,20,18,104,5
999,15580,"Butte-Silver Bow, MT                                        ",5,16,6,2,3,5,1,,52,28,6,3,15,3
999,15620,"Cadillac, MI                                                ",5,22,12,0,0,10,2,,70,40,0,0,30,6
122,15660,"Calhoun, GA                                                 ",5,25,25,0,0,0,0,,146,146,0,0,0,0
548,15700,"Cambridge, MD                                               ",5,3,3,0,0,0,0,,28,28,0,0,0,0
198,15740,"Cambridge, OH                                               ",5,4,4,0,0,0,0,,25,25,0,0,0,0
