ZCTA,population,land_sqmi,density_sqmi
32819,28399,20.624,1376.99
71051,2683,93.783,28.61
06801,20498,16.954,1209.04
97037,857,544.826,1.57
66415,763,94.697,8.06
62311,893,51.022,17.5
16475,2180,,
64060,16291,56.829,286.67
79065,19569,489.815,39.95
45424,49871,31.49,1583.71
35125,10969,47.486,230.99
38768,58,9.476,6.12
98032,40150,16.737,2398.88
50634,736,0.384,1916.67
61776,1208,43.993,27.46
40209,571,2.686,212.58
53228,15084,5.218,2890.76
21009,33444,11.342,2948.69
98438,568,0.844,672.99
01536,7119,8.336,854.01
43950,16422,87.702,187.25
68438,140,0.097,1443.3
65653,5956,64.257,92.69
68137,24294,8.289,2930.87
15329,1438,40.521,35.49
70082,552,13.686,40.33
78201,43426,7.113,6105.16
17240,3154,47.967,65.75
75148,5944,87.512,67.92
60438,28802,7.944,3625.63
18063,277,1.004,275.9
50601,2377,142.026,16.74
63117,9188,2.348,3913.12
96011,157,319.05,0.49
27932,12784,118.254,108.11
34715,25407,33.549,757.31
65037,5337,81.469,65.51
41729,37,0.134,276.12
68836,1829,148.289,12.33
65079,4240,30.262,140.11
03845,1172,13.301,88.11
71965,268,21.816,12.28
66020,1763,61.872,28.49
59106,20232,97.056,208.46
31513,15941,331.565,48.08
72571,365,18.459,19.77
24731,12,1.277,9.4
55060,29601,204.98,144.41
67219,12093,14.578,829.54
61054,3617,39.697,91.12
43138,19147,176.208,108.66
99019,12092,21.899,552.17
29672,12364,38.798,318.68
72058,18250,156.016,116.98
07822,904,6.594,137.09
36603,7805,6.478,1204.85
95670,59314,12.619,4700.37
42332,59,0.605,97.52
